int_no,true_counts,pred_counts,true_rate,pred_rate,pi
718,0,0.4967333279161057,0.0,0.001732430182057838,286.726318359375
17675,0,0.39066456637358177,0.0,0.000730400379252199,534.863586425781
7733,1,0.2650062010261609,0.015493891431170689,0.004105977307286332,64.5415649414062
13805,0,0.5066363530762825,0.0,0.001411581227961171,358.9140625
993,0,0.3612006107545317,0.0,0.0009892047198383506,365.142425537109
1018,0,0.5164471352676212,0.0,0.0016533943975151615,312.355682373047
8870,1,0.24765196427742928,0.006094702428032508,0.0015093650279886684,164.076919555664
77,0,0.6805468372439791,0.0,0.000929833308460569,731.901977539062
1135,0,0.6237943268149752,0.0,0.00032662115079014613,1909.84057617188
1490,0,0.5184658123740543,0.0,0.0024715964264052886,209.769607543945
984,0,0.45673623628688353,0.0,0.0015706749145360914,290.789794921875
998,0,0.5074551262613531,0.0,0.0004933990357620841,1028.48828125
236,0,0.7403034144413608,0.0,0.0007251627647987123,1020.87896728516
258,0,0.5343495997857909,0.0,0.0004933798590600911,1083.03894042969
1486,1,0.23195527815223924,0.03461904575761383,0.008030070388072413,28.8858337402344
1291,0,0.6749907070687948,0.0,0.002112491399521926,319.523529052734
186,0,0.5248844290793706,0.0,0.0006514325100487961,805.73876953125
1411,0,0.479235785290899,0.0,0.0005170285051986391,926.903991699219
15747,0,0.5503636682483043,0.0,0.00330580439146247,166.484039306641
1240,0,0.6515231987585034,0.0,0.003094329174355689,210.553939819336
8335,0,0.6811483569713043,0.0,0.00058448188784868,1165.38830566406
701,0,0.5630990390966952,0.0,0.0006858111881021972,821.070068359375
9828,0,0.6242351403888786,0.0,0.0007452157613112941,837.656921386719
1673,0,0.31394739339580086,0.0,0.0011263340307759407,278.733825683594
1536,0,0.9237292214164071,0.0,0.00045321154535350977,2038.185546875
8832,0,0.5335821709742155,0.0,0.004711686137808019,113.246543884277
1693,0,0.8332233539889454,0.0,0.0027861092688977267,299.063415527344
138,0,1.1105422811433374,0.0,0.0003429327341205693,3238.36767578125
8551,0,0.7801198415442898,0.0,0.002252594475961438,346.320587158203
1717,0,0.5820106219239248,0.0,0.001084132878927488,536.844360351562
592,0,1.4791487683660387,0.0,0.0003932614489977772,3761.23510742188
260,1,0.42264362654694065,0.008142946887947007,0.0034415646035010476,122.8056640625
9141,0,0.5022636142495657,0.0,0.0009767814833751727,514.20263671875
1289,0,0.8823343170562943,0.0,0.00211787914333389,416.612213134766
955,0,1.0139519665968535,0.0,0.002576235860937022,393.578857421875
1443,0,0.8310596106488202,0.0,0.0005679325974808357,1463.30676269531
1315,0,1.049316146797481,0.0,0.0023831907037698812,440.298858642578
623,0,0.8562440903997282,0.0,0.0007968213701635428,1074.57470703125
15297,0,0.8640807956267358,0.0,0.0021878828670364695,394.939239501953
1324,0,0.6505100836691599,0.0,0.0006468662887075436,1005.63299560547
1762,0,0.8451198010825554,0.0,0.001524615747230689,554.316589355469
694,0,0.35986753600282684,0.0,0.0016358024849755291,219.994491577148
16919,0,0.45238233366744074,0.0,0.001934867258053843,233.805358886719
922,1,0.34309967046442547,0.002468475299916961,0.0008469330619510832,405.108367919922
786,0,1.0670583923797041,0.0,0.0004924045225747188,2167.0361328125
6414,0,0.6763572443972427,0.0,0.003380621708816714,200.068893432617
1494,0,1.0238531660521606,0.0,0.0003066000799782633,3339.37670898438
3231,0,1.220472806466241,0.0,0.0014440461186206535,845.17578125
1465,1,0.39658466222925975,0.0025733405593356146,0.001020547396524969,388.599945068359
447,0,0.6400144472609285,0.0,0.00028525050159390706,2243.69262695312
1174,0,0.9753507507118939,0.0,0.001562872390260683,624.075744628906
663,0,0.9291454995640241,0.0,0.0010439915113080794,889.993347167969
1660,0,1.6105168229449782,0.0,0.008141595546750743,197.813415527344
577,0,0.60734499448241,0.0,0.0004809711234630053,1262.74731445312
1419,1,0.4088816437924071,0.0002046748617895019,8.368779393147526e-05,4885.7978515625
8840,0,0.6676354794653756,0.0,0.008219460099909615,81.2261962890625
155,0,1.194447683977537,0.0,0.0008960618293632582,1332.99694824219
1219,0,0.7809541585164249,0.0,0.0009516940832211088,820.593688964844
1755,0,0.5909750530227018,0.0,0.001991185607893217,296.795562744141
455,0,1.2522489100470773,0.0,0.00022707958895697728,5514.58154296875
1615,0,1.131955346602072,0.0,0.0006452663067114733,1754.24523925781
13090,1,0.5143722991990328,0.0031564438491006367,0.0016235872799545395,316.812225341797
11839,0,0.7752834150146266,0.0,0.0005075230589173218,1527.58264160156
1177,0,0.9934511243577411,0.0,0.0011688096710209502,849.96826171875
1399,1,0.2935938705632769,0.001920977972887526,0.0005639873583268463,520.568176269531
17,0,1.2057326962545143,0.0,0.0014918851790059833,808.194030761719
646,1,0.33013301500386333,0.006413680430465056,0.0021173676577807047,155.916717529297
1668,2,0.25339640921833806,0.05084120211794376,0.006441489028515357,39.3381729125977
1438,1,0.42237334189526593,0.0021695969600217606,0.0009163799185702007,460.915100097656
1621,0,1.3358889742869977,0.0,0.0008958784636926471,1491.14978027344
532,0,0.9170586568095072,0.0,0.0004803027194456373,1909.33471679688
8868,0,0.5522736076916984,0.0,0.00168055216025458,328.626281738281
1276,1,0.2291776297859547,0.0025957600420733655,0.000594890133935464,385.243621826172
1512,0,1.5242220532458575,0.0,0.0007690376696818438,1981.98620605469
59,0,1.6372006914328523,0.0,0.0002087801851242005,7841.74365234375
15,0,0.9134646242551762,0.0,0.0006949794436282505,1314.37646484375
785,0,1.0674173265940425,0.0,0.0010469861435024384,1019.51428222656
522,0,1.0573143818261639,0.0,0.0004049960931709134,2610.67797851562
943,0,2.0247590054726836,0.0,0.008997056966951703,225.046813964844
1484,1,0.49291904915024604,0.0024987703652301243,0.0012316915124740459,400.196838378906
1690,0,1.887898480204722,0.0,0.0004278374334573889,4412.65380859375
1703,0,0.8638431741213021,0.0,0.0020232365844673117,426.961029052734
9703,0,2.3040955737450224,0.0,0.002080206035196393,1107.62854003906
1163,0,0.9590097527527207,0.0,0.000808860983225051,1185.6298828125
1318,1,0.687202346605133,0.009328079646223042,0.006410278222204053,107.203201293945
1586,0,1.6098047464135825,0.0,0.0005290444440217918,3042.853515625
839,0,2.1243669277502737,0.0,0.00206518667421527,1028.65612792969
15982,0,1.000443908071788,0.0,0.004561764525433314,219.310729980469
666,1,0.4822591404314675,0.005431073203799489,0.002619184694884718,184.125671386719
530,1,0.7833341562136872,0.0004651884893560319,0.00036439803279002703,2149.66625976562
282,0,2.20413862924707,0.0,0.0016780073357492505,1313.54528808594
12105,0,1.3403946020725184,0.0,0.006205278948417108,216.008758544922
48,0,3.1595826523002333,0.0,0.000872049730940378,3623.16796875
1584,0,1.6518785163288956,0.0,0.0011047408908327898,1495.26330566406
1413,1,1.206211582086113,0.0016181785930300592,0.0019518657607966682,617.978759765625
1611,0,3.1623830261857417,0.0,0.0015202952623704633,2080.11108398438
556,0,1.5884016872690259,0.0,0.00033068695957544234,4803.33935546875
1736,1,0.7630457706752886,0.0010081936036933949,0.000769297865320123,991.872985839844
92,0,2.0016595072727794,0.0,0.0016648480627238847,1202.3076171875
13653,0,1.4448197309616866,0.0,0.0017846642994768472,809.575073242188
1430,1,0.6641513568952327,0.001060232998884956,0.0007041551848345454,943.188903808594
1597,1,0.7923812381401587,0.002056449436622726,0.0016294919507637473,486.275024414062
594,0,4.593734696531476,0.0,0.000491579512649983,9344.845703125
35,0,1.378059968880848,0.0,0.0025444431981790066,541.595886230469
682,0,1.0214060184475235,0.0,0.0004866438414546575,2098.8779296875
9183,0,3.580625484182034,0.0,0.003281479676173361,1091.16186523438
1592,0,2.7285870049677863,0.0,0.0006702188278198566,4071.18823242188
277,1,0.8157082671307022,0.000549299458793858,0.00044806810966857043,1820.50061035156
438,1,0.8339660463974679,0.0003370085309398262,0.0002810536721501056,2967.28393554688
829,1,0.44792767350796675,0.0010754835310676492,0.0004817388359672652,929.814331054688
687,0,1.7175828510981657,0.0,0.0005509556066656805,3117.46142578125
1245,0,3.1419081569214558,0.0,0.0010005599269564786,3140.14990234375
1472,1,0.9077074761357385,0.0023961326092091124,0.002174987483191745,417.339172363281
9014,1,0.6972846326824427,0.0017578095872934736,0.001225693612401606,568.889831542969
564,1,0.7876238343320736,0.0006816490782010945,0.0005368830606416695,1467.03051757812
7721,1,1.5027431592070903,0.0005897207752754958,0.0008861988608875531,1695.7177734375
1506,1,1.0646653452261126,0.0009578449984168431,0.0010197843759125736,1044.01025390625
314,1,0.6322728061767469,0.00034143388561264624,0.00021587936098013823,2928.82470703125
8833,1,0.5959583299298825,0.010421275647400044,0.006210646030563485,95.9575424194336
885,0,4.219398882762623,0.0,0.001299097005132052,3247.94750976562
1449,1,0.8671718953145688,0.0001981592476605501,0.00017183813036790829,5046.4462890625
459,1,1.0378190284947404,0.0005768109466212579,0.0005986253762476054,1733.67028808594
1251,0,5.0294279048214765,0.0,0.0022201871071218537,2265.31713867188
17290,2,0.5500520639036588,0.003168089848141876,0.000871307179801334,631.295227050781
1707,0,4.28864129011457,0.0,0.0026649153773360547,1609.29736328125
73,1,0.7754681771816444,0.0004517055025692394,0.0003502832427002867,2213.83178710938
1445,1,1.375810202855945,0.0005862235602762255,0.0008065323553825681,1705.83386230469
30,1,0.684159934132259,0.0009292855867487826,0.0006357799658201046,1076.09545898438
560,1,0.5878203007844384,0.0018110194965356942,0.0010645540251800938,552.175170898438
101,0,4.217445444305432,0.0,0.0010804216536362025,3903.51806640625
359,0,2.6277298043579025,0.0,0.00011848181848959338,22178.337890625
8851,0,4.163145029717738,0.0,0.0014748078886506317,2822.8388671875
1130,1,1.025986357872707,0.0006868012099505691,0.0007046486719797529,1456.025390625
957,1,1.697627635487013,0.0006802564048482196,0.0011548220720873793,1470.03393554688
174,1,1.4262888691677993,0.000579840382513454,0.0008270198834729385,1724.61254882812
1487,1,1.4115667232674718,0.0005627292312762865,0.0007943298570794911,1777.05358886719
812,1,0.8387662718574018,0.0018793195587682528,0.0015763098599367448,532.107482910156
650,1,1.1034790708835034,0.0003766514363146423,0.0004156269769914185,2654.974609375
1535,1,0.7384681274500005,0.0008591960035638995,0.0006344888638643568,1163.87878417969
13435,1,1.3080339731407657,0.0008803672094164902,0.0011515502187559002,1135.8896484375
1421,1,1.1152298352104666,0.0006100599723506999,0.0006803570824331728,1639.18310546875
271,0,3.9645464856047927,0.0,0.0005067368097826146,7823.6796875
87,1,1.465464981057169,0.0014554098625692985,0.0021328521866805336,687.091674804688
966,3,0.20684731517780627,0.023830027788851262,0.0016430590895787998,125.891586303711
9029,2,1.330791545291307,0.0012471418081074703,0.0008298428870043675,1603.66687011719
1508,1,1.1106669136265102,0.0002384951977804109,0.00026488872523351307,4192.95654296875
96,2,0.6279999282735378,0.004075519242208138,0.0012797128958920668,490.735015869141
627,2,0.5113787985483876,0.003180379481155952,0.0008131893190007376,628.855773925781
464,3,0.652918485386139,0.0008741461460242357,0.00019024872588942486,3431.92041015625
1337,2,1.0082777161243244,0.0028208285753515824,0.0014220892967668625,709.011535644531
43,1,3.908360723246145,0.00010198650591043672,0.0003986000540014617,9805.21875
878,2,0.6449995898805477,0.00237297370654177,0.0007652835337583825,842.824340820312
1328,2,0.8940357043250654,0.0030757975526721423,0.0013749364156822757,650.237854003906
200,2,0.5287863511497541,0.0020615557598992174,0.0005450612739844329,970.14111328125
226,1,1.5529138481045461,0.001051381523278822,0.001632704927140935,951.129516601562
487,2,1.1944936646049338,0.0005126905621440485,0.00030620281419190405,3900.98852539062
58,1,1.4540290562488074,0.00018190317439691504,0.0002644925009970086,5497.43017578125
1153,1,1.2868588952333704,0.0004630401593509309,0.0005958673479110227,2159.63989257812
1468,2,1.1967676706984858,0.0015877582905471658,0.0009500888955051706,1259.63757324219
15489,2,0.712107733305965,0.0023980876772997164,0.0008538483900754338,833.997863769531
498,1,2.4886226774949862,0.00020887849890609066,0.0005198197692188089,4787.47216796875
