int_no,pred_counts,ranking
1652,2.994155103243656,367
361,2.987411031566013,368
534,2.977993043208436,369
474,2.9626098093768105,370
1181,2.9570682984325583,371
859,2.9544085101621462,372
8548,2.950259828227726,373
529,2.949237867933174,374
580,2.937665371435513,375
334,2.9374487257071604,376
396,2.9350952522402927,377
50,2.9307906658703216,378
121,2.930201623111856,379
147,2.929716070182968,380
1167,2.9281720246241174,381
1079,2.917942430729518,382
554,2.912379779967522,383
553,2.9033787378085263,384
373,2.8992454024783805,385
900,2.886830362946111,386
727,2.884978393805371,387
9034,2.881085078742547,388
111,2.8713957206933816,389
8890,2.8690741212163133,390
1379,2.866461940971226,391
220,2.850224900705106,392
1110,2.8498228935662238,393
8979,2.8406550770064483,394
1569,2.8373130502984547,395
291,2.8239254117142067,396
1510,2.8237151072413296,397
13146,2.8207910756960968,398
1312,2.81240544853424,399
696,2.803931798658468,400
616,2.795187447576951,401
304,2.788941712129658,402
10039,2.7842534302597235,403
439,2.7799870032341056,404
13660,2.771188204491498,405
339,2.769571791607288,406
1087,2.769237440146711,407
669,2.767785571370702,408
5229,2.7671408204534225,409
157,2.763528285361209,410
1133,2.761174572673179,411
1068,2.752524503528653,412
331,2.7429717016557236,413
355,2.738036114518412,414
1592,2.7285870049677863,415
881,2.72444897393469,416
561,2.721601064142867,417
1122,2.7196575413991093,418
1077,2.719411950731684,419
288,2.7174792203549942,420
471,2.7155298198367976,421
1224,2.710736841194313,422
1132,2.70019773318136,423
10194,2.697843975686872,424
738,2.6907930131493827,425
72,2.686534134294139,426
1023,2.6832119808139976,427
344,2.680975460009357,428
146,2.678662245931393,429
1692,2.6696279029005923,430
492,2.663645137919361,431
141,2.6594089414719093,432
684,2.657462640511724,433
163,2.6465146862718187,434
1294,2.6455576835325427,435
289,2.6387080548336312,436
880,2.6293810765839383,437
1091,2.6279129441038833,438
359,2.6277298043579025,439
3443,2.6272136162355384,440
501,2.60916549207593,441
9462,2.602132611545562,442
1678,2.5923004733632324,443
555,2.588256435727565,444
1731,2.588145387799166,445
700,2.581084742540529,446
1001,2.5772403285039283,447
589,2.576687019422941,448
15743,2.574203188536484,449
505,2.5593935951814033,450
4,2.5531565400761824,451
871,2.541959144466573,452
896,2.519183720747672,453
1193,2.518788116816143,454
1528,2.49995251073037,455
651,2.4951157123504037,456
498,2.4886226774949862,457
544,2.482844752067024,458
573,2.4819637505391494,459
598,2.4682232186830166,460
1396,2.4671758801108417,461
1082,2.4589170382833667,462
559,2.4536976335001213,463
617,2.452832145105262,464
929,2.4404618547584636,465
150,2.440302476353933,466
8884,2.439181741865674,467
901,2.437688849560594,468
343,2.433556622370926,469
698,2.4317168140369367,470
960,2.4260475344815404,471
1186,2.421786638237525,472
791,2.415366055890839,473
13284,2.414165827033066,474
614,2.408998730454594,475
472,2.4012238573962366,476
606,2.398976681067408,477
1067,2.397050040759113,478
1199,2.3721793804151496,479
475,2.370908148530386,480
295,2.3644627044005575,481
9864,2.3625987236058146,482
1085,2.357387022272228,483
1295,2.356659879074388,484
8852,2.35591006206945,485
1065,2.345935123513406,486
